Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
18.078608,17.266958,16.986732,,19.373079,18.568243
18.078608,17.266958,16.504177,,19.373079,17.780716
18.078608,17.956566,17.421177,,17.193363,17.780716
18.078608,17.956566,15.878663,,16.850050,15.432152
18.078608,17.956566,16.031755,,19.623224,18.344120
17.179049,18.030743,16.255701,,19.623224,18.344120
18.440590,19.393896,11.989993,,19.623224,18.544624
18.440590,19.393896,11.989993,,19.623224,18.544624
18.440590,19.393896,11.316934,,19.623224,17.992893
18.440590,19.393896,14.681163,,20.425816,17.992893
17.363171,19.393896,17.731064,,20.425816,17.485693
18.202810,21.870424,17.731064,,20.425816,17.485693
18.202810,21.870424,16.300117,,20.425816,19.414610
18.202810,21.870424,15.779791,,20.425816,19.414610
19.839287,21.870424,15.779791,,20.221169,17.675507
19.839287,21.870424,16.022993,,20.221169,17.675507
19.839287,20.175819,17.036375,,19.001635,17.675507
20.804996,20.175819,16.890518,,19.001635,15.683051
20.804996,18.748734,18.447304,,19.547651,18.380676
20.804996,18.748734,18.447304,,19.547651,18.380676
17.470018,18.748734,18.447304,,19.087217,17.003553
17.819508,18.748734,18.183001,,19.087217,17.753996
17.516748,16.208500,18.183001,,19.087217,17.266455
18.241724,16.316397,18.183001,,19.125332,17.266455
18.241724,16.661394,18.366905,,19.125332,16.155699
17.376219,17.758739,19.445961,,19.125332,16.155699
17.376219,17.758739,19.445961,,17.661091,18.551842
18.105766,17.758739,19.445961,,17.306746,18.618250
17.240484,17.243093,19.445961,,17.306746,17.900490
18.133368,17.243093,18.848650,,17.306746,17.847376
18.133368,17.741766,18.848650,,17.104136,17.847376
19.453007,16.841713,18.848650,,16.802767,19.148157
19.453007,19.170727,18.848650,,15.504738,19.148157
16.749857,19.170727,15.841738,,15.853598,17.266691
17.195330,19.170727,17.096659,,18.319572,18.504890
17.195330,19.170727,16.494696,,16.414932,18.554468
17.192863,17.897940,16.317980,,17.132072,16.314718
17.192863,17.897940,16.223381,,16.674389,19.567976
18.473475,20.844624,12.372051,,15.862141,19.567976
18.473475,20.844624,15.819622,,17.393394,19.567976
18.473475,20.844624,17.138578,,17.631844,19.567976
18.473475,20.844624,,,17.631844,17.547544
16.638474,20.844624,,,17.631844,18.179966
16.693226,19.529160,,,17.105330,18.179966
17.082256,19.529160,,,,17.457043
18.732565,19.529160,,,,17.457043
18.732565,19.529160,,,,17.457043
18.732565,19.529160,,,,18.062418
18.595655,17.563236,,,,16.944294
18.595655,17.563236,,,,16.944294
18.595655,16.962986,,,,19.201864
17.092955,18.572765,,,,19.201864
17.295012,18.572765,,,,19.201864
17.424532,17.221636,,,,17.781178
17.424532,17.221636,,,,16.969952
17.424532,19.040251,,,,17.878372
18.706276,19.040251,,,,17.878372
18.706276,19.040251,,,,18.401201
18.834938,18.816280,,,,18.401201
18.834938,18.816280,,,,18.526699
17.155411,19.499891,,,,18.526699
18.246866,19.499891,,,,18.625721
18.246866,19.499891,,,,18.625721
18.246866,19.499891,,,,18.625721
18.246866,18.317949,,,,18.984533
16.391289,18.317949,,,,19.777390
17.580662,18.317949,,,,19.777390
18.184418,19.050869,,,,19.777390
18.184418,19.050869,,,,19.777390
18.184418,19.050869,,,,19.948904
17.100477,19.050869,,,,23.031759
17.100477,19.050869,,,,23.031759
17.142826,19.584087,,,,23.031759
17.686808,19.584087,,,,23.031759
17.686808,19.584087,,,,23.031759
17.762663,17.542408,,,,23.031759
19.619663,15.556854,,,,23.037500
19.619663,17.568039,,,,22.118013
19.619663,10.386660,,,,22.442522
17.798689,11.690221,,,,22.490244
17.798689,11.690221,,,,22.490244
18.964626,11.690221,,,,22.588453
18.964626,12.213360,,,,21.236422
19.174397,12.213360,,,,21.236422
18.413548,12.213360,,,,21.236422
18.413548,13.594504,,,,22.539442
17.043913,13.594504,,,,22.539442
16.780436,16.120502,,,,23.244345
14.830132,15.781614,,,,23.244345
15.875072,12.081564,,,,23.244345
16.433275,17.633558,,,,23.244345
16.741039,17.633558,,,,23.244345
16.678574,17.633558,,,,22.243479
12.859603,16.111214,,,,18.585529
12.859603,16.711617,,,,18.585529
14.458479,17.164963,,,,16.340721
14.458479,16.679630,,,,18.944447
14.458479,16.592863,,,,18.619482
14.458479,12.675308,,,,18.619482
14.152031,13.230810,,,,18.619482
12.984571,14.561871,,,,17.395987
12.984571,15.824806,,,,17.395987
16.113855,13.920932,,,,17.446312
16.869322,13.920932,,,,16.698553
16.873592,13.982658,,,,17.004026
,13.982658,,,,18.929718
,13.523733,,,,18.929718
,,,,,17.149046
,,,,,16.536180
,,,,,16.752392
,,,,,16.696392
,,,,,15.749098
,,,,,18.764847
,,,,,18.764847
